"is_active","new_spending","Coupon","Male","ActiveDays","Spending"
0,0,0,1,2,25
0,0,0,0,2,31.44
1,16.3,0,0,2,35.32
0,0,1,1,1,25.97
0,0,0,0,1,20.92
0,0,1,1,1,21.39
0,0,0,0,3,61.47
0,0,1,0,2,3.84
0,0,0,1,2,36.74
0,0,0,1,1,27.31
1,48.3,1,1,2,73.84
0,0,0,1,1,12.7
0,0,0,1,2,39.08
0,0,0,0,3,95.16
0,0,1,0,0,0
0,0,0,1,1,21.22
0,0,1,0,0,0
0,0,1,0,2,22.02
0,0,1,0,3,93.66
0,0,1,1,0,0
0,0,1,1,1,18.16
0,0,1,1,2,28.48
0,0,0,1,2,25.02
1,24.81,1,0,0,0
0,0,0,0,1,15.58
0,0,0,0,1,11.56
0,0,0,1,1,22.49
0,0,1,1,1,11.29
0,0,1,1,0,0
0,0,0,0,1,36.42
1,24.33,1,1,2,23.36
0,0,1,0,1,36.36
0,0,0,0,1,22.38
0,0,1,0,0,0
0,0,0,1,3,78.3
1,19.05,1,0,0,0
0,0,1,1,1,21.65
0,0,1,1,0,0
0,0,0,1,2,12.02
0,0,1,0,1,18.98
0,0,0,0,1,17.35
1,23.62,1,1,1,18.76
0,0,0,0,2,36.5
0,0,0,1,1,12.46
1,22.71,0,0,1,26.28
0,0,1,0,0,0
0,0,1,1,1,26.23
0,0,1,1,0,0
0,0,0,0,2,37.64
0,0,0,1,1,27.24
0,0,1,1,0,0
0,0,1,1,0,0
0,0,0,0,1,22.09
0,0,1,0,2,56.42
0,0,0,0,2,29.52
0,0,0,0,3,61.53
0,0,0,0,0,0
0,0,0,0,1,28.81
0,0,1,1,0,0
1,18.84,0,1,2,40.54
0,0,1,0,1,21.8
0,0,0,0,0,0
0,0,1,1,0,0
0,0,0,0,2,36.98
0,0,0,1,1,15.99
0,0,0,0,2,33.48
1,26.45,0,0,3,69.18
0,0,0,0,2,45.7
1,16.98,0,1,2,32.4
1,22.43,0,1,3,67.17
0,0,0,0,2,41.02
0,0,1,0,2,38.96
0,0,1,0,0,0
1,20.38,0,0,2,28.78
0,0,1,0,1,15.56
0,0,0,0,1,16.81
0,0,0,0,2,65.26
0,0,0,1,1,25.46
0,0,0,0,2,38.28
0,0,0,0,2,26.34
0,0,1,1,0,0
0,0,0,0,2,59.2
0,0,1,0,1,25.33
0,0,1,0,1,18.71
1,33.91,1,1,4,116.12
1,19.72,0,1,4,101.6
1,17.31,0,0,3,59.34
0,0,0,0,1,19.89
0,0,0,1,2,33.8
1,14.34,0,0,2,32.14
0,0,1,0,1,24.42
0,0,0,1,0,0
0,0,0,1,0,0
0,0,1,0,1,20.44
0,0,1,1,2,19.78
0,0,1,1,0,0
1,11.15,0,0,2,27.58
1,24.31,1,1,2,43.4
0,0,0,0,5,76.45
0,0,1,1,0,0
0,0,0,1,1,26.33
0,0,1,1,2,25.58
1,24.46,0,1,2,43.14
0,0,1,1,1,25.53
1,28.46,0,1,2,46.66
1,13.35,0,1,2,34.08
0,0,1,1,2,25.56
0,0,1,0,1,18.43
0,0,1,0,0,0
0,0,1,1,1,21.54
1,23.22,1,0,2,35.06
1,32.11,1,0,1,23.05
0,0,0,1,0,0
0,0,1,0,2,18.24
1,28.86,1,1,0,0
0,0,1,1,1,7.39
0,0,1,1,1,14.37
0,0,1,1,0,0
1,22.39,1,0,1,20.93
1,15.65,0,0,3,53.49
